SIN,InvestNo,Bag ID,SpeciesCode,Tissue,Comments,%Moisture,BombED(Dry),% lipid,Wild_or_hatch
427600,c-WF2,Oct 10 wild,Coho salmon,eggs,19 eggs,57.80,25.54,9.90,W
427601,c-WF3,Oct 11 wild,Coho salmon,eggs,18 eggs,60.87,26.10,11.07,W
427602,c-WF7,Oct 11 wild,Coho salmon,eggs,15 eggs,57.79,26.08,11.21,W
427603,c-WF9,Oct 11 wild,Coho salmon,eggs,22 eggs,60.79,26.26,9.82,W
427604,c-WF12,Oct 11 wild,Coho salmon,eggs,22+ eggs,58.90,25.84,10.16,W
427605,c-WF18,Oct 11 wild,Coho salmon,eggs,11 eggs,58.91,25.19,4.71,W
427606,c-WF19,Oct 12 wild,Coho salmon,eggs,21+ eggs,59.42,25.11,10.89,W
427607,c-WF22,Oct 12 wild,Coho salmon,eggs,20 eggs,58.47,25.34,9.71,W
427608,c-WF25,Oct 12 wild,Coho salmon,eggs,18 eggs,58.71,25.22,11.44,W
427609,c-WF27,Oct 13 wild,Coho salmon,eggs,18 eggs,60.32,25.82,10.67,W
427610,c-HF7,Oct 16 hatchery,Coho salmon,eggs,21 eggs,59.46,25.05,8.78,H
427611,c-HF9,Oct 16 hatchery,Coho salmon,eggs,19 eggs,59.72,25.44,10.07,H
427612,c-HF10,Oct 16 hatchery,Coho salmon,eggs,24 eggs,59.29,26.25,11.50,H
427613,c-HF18,Oct 16 hatchery,Coho salmon,eggs,25 eggs,59.68,24.70,10.14,H
427614,c-HF22,Oct 16 hatchery,Coho salmon,eggs,19 eggs,58.77,25.57,11.27,H
427615,c-HF23,Oct 16 hatchery,Coho salmon,eggs,20 eggs,59.24,25.96,10.32,H
427616,c-HF24,Oct 16 hatchery,Coho salmon,eggs,18 eggs,59.16,25.44,11.18,H
427617,c-HF27,Oct 16 hatchery,Coho salmon,eggs,24 eggs,58.63,25.83,10.61,H
427618,c-HF28,Oct 16 hatchery,Coho salmon,eggs,25 eggs,58.82,25.92,10.63,H
427619,c-HF30,Oct 16 hatchery,Coho salmon,eggs,18+ eggs,58.58,25.81,9.37,H
427640,c-WF4,Oct 11 wild,Coho salmon,eggs,23 eggs,60.66,26.77,8.36,W
427641,c-WF5,Oct 11 wild,Coho salmon,eggs,24 eggs,61.51,26.75,9.70,W
427642,c-WF6,Oct 11 wild,Coho salmon,eggs,24 eggs,60.61,26.63,7.62,W
427643,c-WF8,Oct 11 wild,Coho salmon,eggs,32 eggs,59.70,26.78,8.11,W
427644,c-WF10,Oct 11 wild,Coho salmon,eggs,24+ eggs,61.57,26.57,9.44,W
427645,c-WF11,Oct 11 wild,Coho salmon,eggs,24+ eggs,59.18,26.95,10.10,W
427646,c-WF13,Oct 11 wild,Coho salmon,eggs,19 eggs,59.06,26.74,8.36,W
427647,c-WF14,Oct 11 wild,Coho salmon,eggs,20 eggs,60.92,26.43,7.09,W
427648,c-WF15,Oct 11 wild,Coho salmon,eggs,25 eggs,60.90,26.75,7.72,W
427649,c-WF16,Oct 11 wild,Coho salmon,eggs,26 eggs,60.68,24.24,8.81,W
427650,c-WF17,Oct 11 wild,Coho salmon,eggs,20+ eggs,60.91,26.55,7.76,W
427651,c-WF20,Oct 12 wild,Coho salmon,eggs,21+ eggs,59.87,26.12,7.80,W
427652,c-WF21,Oct 12 wild,Coho salmon,eggs,21 eggs,59.30,26.59,8.00,W
427653,c-WF23,Oct 12 wild,Coho salmon,eggs,23 eggs,60.65,25.37,9.16,W
427654,c-WF24,Oct 12 wild,Coho salmon,eggs,24 eggs,60.31,26.59,8.34,W
427655,c-WF26,Oct 12 wild,Coho salmon,eggs,29 eggs,59.53,24.49,7.53,W
427656,c-WF28,Oct 13 wild,Coho salmon,eggs,36 eggs,60.41,25.15,8.79,W
427657,c-WF29,Oct 13 wild,Coho salmon,eggs,24 eggs,60.38,26.25,7.34,W
427658,c-WF30,Oct 13 wild,Coho salmon,eggs,27 eggs,59.40,25.79,7.76,W
427659,c-HF1,Oct 16 hatchery,Coho salmon,eggs,20 eggs,59.94,26.43,8.08,H
427660,c-HF2,Oct 16 hatchery,Coho salmon,eggs,22+ eggs,59.25,26.33,9.52,H
427661,c-HF4,Oct 16 hatchery,Coho salmon,eggs,26+ eggs,59.05,26.33,8.44,H
427662,c-HF5,Oct 16 hatchery,Coho salmon,eggs,22 eggs,59.63,26.29,8.60,H
427663,c-HF6,Oct 16 hatchery,Coho salmon,eggs,31 eggs,58.51,26.68,9.33,H
427664,c-HF8,Oct 16 hatchery,Coho salmon,eggs,30 eggs,59.59,26.31,7.52,H
427665,c-HF11,Oct 16 hatchery,Coho salmon,eggs,30 eggs,58.54,26.20,8.71,H
427666,c-HF12,Oct 16 hatchery,Coho salmon,eggs,27+ eggs,58.33,26.36,9.62,H
427667,c-HF13,Oct 16 hatchery,Coho salmon,eggs,24+ eggs,61.14,26.17,8.44,H
427668,c-HF14,Oct 16 hatchery,Coho salmon,eggs,20+ eggs,59.08,26.71,10.89,H
427669,c-HF15,Oct 16 hatchery,Coho salmon,eggs,22 eggs,60.30,26.48,9.82,H
427670,c-HF16,Oct 16 hatchery,Coho salmon,eggs,23+ eggs,60.58,26.09,8.69,H
427671,c-HF17,Oct 16 hatchery,Coho salmon,eggs,24 eggs,60.12,26.14,7.56,H
427672,c-HF19,Oct 16 hatchery,Coho salmon,eggs,19+ eggs,58.76,26.69,9.25,H
427673,c-HF20,Oct 16 hatchery,Coho salmon,eggs,21 eggs,59.43,26.11,6.87,H
427674,c-HF21,Oct 16 hatchery,Coho salmon,eggs,22 eggs,58.34,26.45,8.92,H
427675,c-HF25,Oct 16 hatchery,Coho salmon,eggs,24 eggs,59.51,25.96,9.52,H
427676,c-HF26,Oct 16 hatchery,Coho salmon,eggs,27 eggs,58.90,25.95,9.34,H
427677,c-HF29,Oct 16 hatchery,Coho salmon,eggs,24 eggs,58.52,26.43,9.18,H
427678,c-HF31,Oct 16 hatchery,Coho salmon,eggs,29 eggs,59.24,26.19,8.16,H